cardId,suit,rank,tier,effect,resourcePath
S-1,스페이드,1,왕권,에이스 1장마다 공격·방어 +2,Cards/AscendantPoker/S-1
S-2,스페이드,2,각성,족보 구성과 무늬 약점 계산에 사용,Cards/AscendantPoker/S-2
S-3,스페이드,3,각성,족보 구성과 무늬 약점 계산에 사용,Cards/AscendantPoker/S-3
S-4,스페이드,4,각성,족보 구성과 무늬 약점 계산에 사용,Cards/AscendantPoker/S-4
S-5,스페이드,5,각성,족보 구성과 무늬 약점 계산에 사용,Cards/AscendantPoker/S-5
S-6,스페이드,6,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/S-6
S-7,스페이드,7,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/S-7
S-8,스페이드,8,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/S-8
S-9,스페이드,9,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/S-9
S-10,스페이드,10,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/S-10
S-11,스페이드,11,궁정,J·Q·K 1장마다 스킬 +1,Cards/AscendantPoker/S-11
S-12,스페이드,12,궁정,J·Q·K 1장마다 스킬 +1,Cards/AscendantPoker/S-12
S-13,스페이드,13,궁정,J·Q·K 1장마다 스킬 +1,Cards/AscendantPoker/S-13
C-1,클로버,1,왕권,에이스 1장마다 공격·방어 +2,Cards/AscendantPoker/C-1
C-2,클로버,2,각성,족보 구성과 무늬 약점 계산에 사용,Cards/AscendantPoker/C-2
C-3,클로버,3,각성,족보 구성과 무늬 약점 계산에 사용,Cards/AscendantPoker/C-3
C-4,클로버,4,각성,족보 구성과 무늬 약점 계산에 사용,Cards/AscendantPoker/C-4
C-5,클로버,5,각성,족보 구성과 무늬 약점 계산에 사용,Cards/AscendantPoker/C-5
C-6,클로버,6,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/C-6
C-7,클로버,7,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/C-7
C-8,클로버,8,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/C-8
C-9,클로버,9,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/C-9
C-10,클로버,10,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/C-10
C-11,클로버,11,궁정,J·Q·K 1장마다 스킬 +1,Cards/AscendantPoker/C-11
C-12,클로버,12,궁정,J·Q·K 1장마다 스킬 +1,Cards/AscendantPoker/C-12
C-13,클로버,13,궁정,J·Q·K 1장마다 스킬 +1,Cards/AscendantPoker/C-13
H-1,하트,1,왕권,에이스 1장마다 공격·방어 +2,Cards/AscendantPoker/H-1
H-2,하트,2,각성,족보 구성과 무늬 약점 계산에 사용,Cards/AscendantPoker/H-2
H-3,하트,3,각성,족보 구성과 무늬 약점 계산에 사용,Cards/AscendantPoker/H-3
H-4,하트,4,각성,족보 구성과 무늬 약점 계산에 사용,Cards/AscendantPoker/H-4
H-5,하트,5,각성,족보 구성과 무늬 약점 계산에 사용,Cards/AscendantPoker/H-5
H-6,하트,6,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/H-6
H-7,하트,7,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/H-7
H-8,하트,8,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/H-8
H-9,하트,9,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/H-9
H-10,하트,10,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/H-10
H-11,하트,11,궁정,J·Q·K 1장마다 스킬 +1,Cards/AscendantPoker/H-11
H-12,하트,12,궁정,J·Q·K 1장마다 스킬 +1,Cards/AscendantPoker/H-12
H-13,하트,13,궁정,J·Q·K 1장마다 스킬 +1,Cards/AscendantPoker/H-13
D-1,다이아,1,왕권,에이스 1장마다 공격·방어 +2,Cards/AscendantPoker/D-1
D-2,다이아,2,각성,족보 구성과 무늬 약점 계산에 사용,Cards/AscendantPoker/D-2
D-3,다이아,3,각성,족보 구성과 무늬 약점 계산에 사용,Cards/AscendantPoker/D-3
D-4,다이아,4,각성,족보 구성과 무늬 약점 계산에 사용,Cards/AscendantPoker/D-4
D-5,다이아,5,각성,족보 구성과 무늬 약점 계산에 사용,Cards/AscendantPoker/D-5
D-6,다이아,6,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/D-6
D-7,다이아,7,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/D-7
D-8,다이아,8,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/D-8
D-9,다이아,9,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/D-9
D-10,다이아,10,정련,족보와 높은 카드 보정에 사용,Cards/AscendantPoker/D-10
D-11,다이아,11,궁정,J·Q·K 1장마다 스킬 +1,Cards/AscendantPoker/D-11
D-12,다이아,12,궁정,J·Q·K 1장마다 스킬 +1,Cards/AscendantPoker/D-12
D-13,다이아,13,궁정,J·Q·K 1장마다 스킬 +1,Cards/AscendantPoker/D-13
X-R,적 조커,0,와일드,"최적의 카드로 대체, 공격 +3, 스킬 +2",Cards/AscendantPoker/X-R
X-B,흑 조커,0,와일드,"최적의 카드로 대체, 방어 +3, 스킬 +2",Cards/AscendantPoker/X-B
