bossId,cardId,displayName,month,isGwang,effect,resourcePath
1땡,sig_01_ddang,솔잎 관통패,1,False,"1월과 만나면 위력 +1, 얇은 게이지 +2",Cards/SignatureSeotda/sig_01_ddang
2땡,sig_02_ddang,설매 반격패,2,False,"2월과 만나면 위력 +2, 얇은 게이지 +1",Cards/SignatureSeotda/sig_02_ddang
3땡,sig_03_ddang,삼연화 낙화패,3,True,"3월과 만나면 위력 +2, HP 추가 1, 얇은 게이지 +1",Cards/SignatureSeotda/sig_03_ddang
4땡,sig_04_ddang,흑싸리 사신패,4,False,"4월과 만나면 위력 +1, HP 추가 1, 얇은 게이지 +3",Cards/SignatureSeotda/sig_04_ddang
5땡,sig_05_ddang,창포 수경패,5,False,"5월과 만나면 위력 +2, 얇은 게이지 +2",Cards/SignatureSeotda/sig_05_ddang
6땡,sig_06_ddang,육화 독무패,6,False,"6월과 만나면 위력 +2, HP 추가 2",Cards/SignatureSeotda/sig_06_ddang
7땡,sig_07_ddang,홍싸리 철퇴패,7,False,"7월과 만나면 위력 +3, 얇은 게이지 +2",Cards/SignatureSeotda/sig_07_ddang
8땡,sig_08_ddang,공산 봉인패,8,True,"8월과 만나면 위력 +1, 얇은 게이지 +4",Cards/SignatureSeotda/sig_08_ddang
9땡,sig_09_ddang,국화 취월패,9,False,"9월과 만나면 위력 +2, HP 추가 2, 얇은 게이지 +1",Cards/SignatureSeotda/sig_09_ddang
10땡,sig_10_ddang,단풍 십연패,10,False,"10월과 만나면 족보 +2, 위력 +3, HP 추가 2, 얇은 게이지 +2",Cards/SignatureSeotda/sig_10_ddang
13,sig_13_gwang,일삼 멸광패,3,True,"1월과 만나 일삼광땡이면 위력 +3, HP 추가 2",Cards/SignatureSeotda/sig_13_gwang
18,sig_18_gwang,일팔 금륜패,8,True,"1월과 만나 일팔광땡이면 위력 +3, 얇은 게이지 +3",Cards/SignatureSeotda/sig_18_gwang
38,sig_38_gwang,삼팔 광천패,8,True,"3월과 만나 삼팔광땡이면 위력 +4, HP 추가 3, 얇은 게이지 +3",Cards/SignatureSeotda/sig_38_gwang
구사,sig_94_reset,구사 판뒤집기패,4,False,"9월과 만나 구사가 되면 족보 +2, 위력 +2, 얇은 게이지 +4",Cards/SignatureSeotda/sig_94_reset
땡잡이,sig_37_hunter,청쇄 땡사냥패,3,False,"7월과 만나 땡잡이가 되면 위력 +3, HP 추가 1, 얇은 게이지 +3",Cards/SignatureSeotda/sig_37_hunter
멍구사,sig_49_assassin,멍구사 절명패,9,False,"4월과 만나 멍구사가 되면 위력 +4, HP 추가 2",Cards/SignatureSeotda/sig_49_assassin
암행어사,sig_47_inspector,마패 암행출두,4,False,"7월과 만나 암행어사가 되면 위력 +3, HP 추가 2, 얇은 게이지 +3",Cards/SignatureSeotda/sig_47_inspector
